"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"West Bengal","Dinajpur Dakshin","2012-05-30",2012,5,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-05-31",2012,5,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-05-22",2012,5,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-03",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-12",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-21",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-22",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-28",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-29",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-01",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-04",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-05",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-06",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-07",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-08",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-09",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-10",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-11",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-13",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-14",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-15",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-16",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-17",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-18",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-19",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-20",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-23",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-24",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-25",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-26",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-27",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-02",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-11-30",2012,11,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-08",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-16",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-26",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-01",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-03",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-05",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-04",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-06",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-07",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-09",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-10",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-11",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-12",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-13",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-14",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-15",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-17",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-18",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-19",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-20",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-21",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-22",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-23",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-24",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-25",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-27",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-28",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-02",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-29",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-30",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-10-31",2012,10,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-05",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-04",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-12",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-13",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-22",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-29",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-30",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-02",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-03",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-06",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-07",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-08",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-09",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-10",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-11",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-14",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-15",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-16",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-17",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-18",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-19",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-20",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-21",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-23",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-24",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-25",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-26",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-27",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-28",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2012-09-01",2012,9,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-03",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-07",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-09",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-15",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-21",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-26",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-27",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-02",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-01",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-05",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-04",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-06",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-08",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-10",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-12",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-11",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-13",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-14",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-16",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-17",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-18",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-20",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-19",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-22",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-23",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-24",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-25",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-28",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-29",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-04-30",2013,4,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-01",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-08",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-09",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-16",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-26",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-03",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-04",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-05",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-06",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-07",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-10",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-11",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-12",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-13",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-14",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-15",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-17",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-18",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-19",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-20",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-21",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-22",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-02",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-23",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-24",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-25",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-27",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-28",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-29",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-30",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-08-31",2013,8,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-07",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-14",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-15",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-20",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-21",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-27",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-28",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-01",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-02",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-04",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-05",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-06",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-08",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-09",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-10",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-11",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-12",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-13",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-16",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-17",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-18",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-19",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-22",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-23",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-24",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-25",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-26",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-03",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-29",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-30",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-12-31",2013,12,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-05",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-10",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-11",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-16",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-17",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-22",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-28",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-02",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-03",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-04",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-06",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-07",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-01",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-08",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-09",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-12",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-13",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-14",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-15",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-18",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-19",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-20",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-21",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-23",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-24",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-25",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-26",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-02-27",2013,2,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-07",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-12",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-13",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-18",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-24",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-29",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-30",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-02",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-03",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-04",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-06",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-05",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-08",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-09",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-11",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-10",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-15",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-14",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-01",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-16",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-17",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-19",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-20",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-21",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-23",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-25",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-26",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-27",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-28",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-31",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-01-22",2013,1,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-03",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-04",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-10",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-11",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-19",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-25",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-26",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-02",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-05",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-06",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-07",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-08",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-09",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-12",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-14",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-13",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-15",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-16",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-17",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-18",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-20",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-21",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-01",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-22",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-23",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-24",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-27",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-28",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-29",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-30",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-07-31",2013,7,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-06-01",2013,6,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-06-02",2013,6,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-06-07",2013,6,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-06-08",2013,6,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-06-13",2013,6,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-06-14",2013,6,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-06-20",2013,6,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-06-27",2013,6,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-06-03",2013,6,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-06-04",2013,6,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-06-06",2013,6,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-06-05",2013,6,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-06-10",2013,6,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-06-09",2013,6,0.0,"IMD GRID MODEL"
"West Bengal","Dinajpur Dakshin","2013-06-11",2013,6,0.0,"IMD GRID MODEL"
